Forma;Lemma originale;Lemma corretto;Postag originale;Postag corretto;Tipo modifica
ἐμπεσούσης;['ἐμπίτνω'];['ἐμπίπτω'];['v-sapafg-'];['v-sapafg-'];lemma
ἐμπεσόντα;['ἐμπίτνω'];['ἐμπίπτω'];['v-sapama-'];['v-sapama-'];lemma
ἐμπεσόντες;['ἐμπίτνω'];['ἐμπίπτω'];['v-papamn-'];['v-papamn-'];lemma
ἐμπεσόντος;['ἐμπίτνω'];['ἐμπίπτω'];['v-sapamg-'];['v-sapamg-'];lemma
ἐμπεσών;['ἐμπίτνω'];['ἐμπίπτω'];['v-sapamn-'];['v-sapamn-'];lemma
ἐμπεσὼν;['ἐμπίτνω'];['ἐμπίπτω'];['v-sapamn-'];['v-sapamn-'];lemma
ἐμπιμπλὰς;['ἐμπίπλημι'];['ἐμπίμπλημι'];['v-sppamn-'];['v-sppamn-'];lemma
ἐμπιπλάμενοι;['ἐμπίπλημι'];['ἐμπίμπλημι'];['v-pppemn-'];['v-pppemn-'];lemma
ἐμπιπτούσης;['ἐμπίτνω'];['ἐμπίπτω'];['v-sppafg-'];['v-sppafg-'];lemma
ἐμπλῆσαι;['ἐμπίπλημι'];['ἐμπίμπλημι'];['v--ana---'];['v--ana---'];lemma
ἐμποιῶν;['ἐμποιόω'];['ἐμποιέω'];['v-sppamn-'];['v-sppamn-'];lemma
ἐμφάγοιέν;['ἐν-ἐσθίω'];['ἐνεσθίω'];['v3paoa---'];['v3paoa---'];lemma
ἐν;['εἰς', 'ἐν'];['ἐν'];['d--------', 'r--------'];['d--------', 'r--------'];lemma
ἐνέδυσε;['ἐν-δύω1'];['ἐνδύω'];['v3saia---'];['v3saia---'];lemma
ἐνέπεσε;['ἐμπίτνω'];['ἐμπίπτω'];['v3saia---'];['v3saia---'];lemma
ἐνέπεσεν;['ἐμπίτνω'];['ἐμπίπτω'];['v3saia---'];['v3saia---'];lemma
ἐνέπεσον;['ἐμπίπτω', 'ἐμπίτνω'];['ἐμπίπτω'];['v3paia---'];['v3paia---'];lemma
ἐνέπιπτέ;['ἐμπίτνω'];['ἐμπίπτω'];['v3siia---'];['v3siia---'];lemma
ἐνέπιπτε;['ἐμπίτνω'];['ἐμπίπτω'];['v3siia---'];['v3siia---'];lemma
ἐνέπιπτεν;['ἐμπίτνω'];['ἐμπίπτω'];['v3siia---'];['v3siia---'];lemma
ἐνέπιπτον;['ἐμπίπτω', 'ἐμπίτνω'];['ἐμπίπτω'];['v3piia---'];['v3piia---'];lemma
ἐνέπλησαν;['ἐμπίπλημι'];['ἐμπίμπλημι'];['v3paia---'];['v3paia---'];lemma
ἐνέπλησε;['ἐμπίπλημι'];['ἐμπίμπλημι'];['v3saia---'];['v3saia---'];lemma
ἐνέσται;['ἐν-εἰμί'];['ἔνειμι'];['v3sfim---'];['v3sfim---'];lemma
ἐνέχει;['ἐγχύνω'];['ἐνέχω'];['v3siia---'];['v3siia---'];lemma
ἐνήθληκας;['ἐν-ἀθλέω'];['ἐναθλέω'];['v2sria---'];['v2sria---'];lemma
ἐνήρχετο;['ἐνάρχομαι'];['ἐνάρχω'];['v3siie---'];['v3siie---'];lemma
ἐναντίον;['ἐναντίον', 'ἐναντίος'];['ἐναντίος'];['a-s---ma-', 'a-s---na-', 'a-s---nn-', 'd--------', 'r--------'];['a-s---ma-', 'a-s---na-', 'a-s---nn-', 'd--------', 'r--------'];lemma
ἐναντιουμένοις;['ἐν-ἀντιόομαι'];['ἐναντιόομαι'];['v-pppemd-'];['v-pppemd-'];lemma
ἐναντιουμένων;['ἐν-ἀντιόομαι', 'ἐν-ἐναντιόομαι'];['ἐναντιόομαι'];['v-pppefg-', 'v-pppemg-', 'v-pppeng-'];['v-pppefg-', 'v-pppemg-', 'v-pppeng-'];lemma
ἐναντιούμενος;['ἐν,ἀνά-τίζω', 'ἐν,ἀντί-ἱέω', 'ἐν-ἀντιόομαι', 'ἐναντιόομαι'];['ἐναντιόομαι'];['v-sfpmmn-', 'v-sppemn-'];['v-sfpmmn-', 'v-sppemn-'];lemma
ἐναντιοῦσθαι;['ἐν-ἀντιόομαι', 'ἐναντιόομαι'];['ἐναντιόομαι'];['v--pne---'];['v--pne---'];lemma
ἐναπέθανεν;['ἐναποθνήσκω'];['ἐναποθνῄσκω'];['v3saia---'];['v3saia---'];lemma
ἐναπεδείκνυτο;['ἐναποδείκνυμαι'];['ἐναποδείκνυμι'];['v3siie---'];['v3siie---'];lemma
ἐναποδείξηται;['ἐναποδείκνυμαι'];['ἐναποδείκνυμι'];['v3sasm---'];['v3sasm---'];lemma
ἐναποθνήσκοντας;['ἐναποθνήσκω'];['ἐναποθνῄσκω'];['v-pppama-'];['v-pppama-'];lemma
ἐναπολείποντας;['ἐν-ἀπολιμπάνω'];['ἐναπολείπω'];['v-pppama-'];['v-pppama-'];lemma
